App,Categoria,Downloads,Tipo,Preco,Nota,Avaliacoes,Contem_Anuncios,Compras_no_App,Versao,Ultima_Atualizacao,Android,Classificacao_Conteudo,Lancamento
Bradesco Seguros,Entretenimento,1000000,Gratuito,0.0,4.6,18600,Não,Não,2.7.0,4/08/2022,5.0,Classificação Livre,5/08/2017
Vakinha Online,Entretenimento,500000,Gratuito,0.0,4.6,11900,Não,Não,1.85,19/04/2022,4.4,Classificação 12 anos • Linguagem Imprópria,17/12/2019
TIM + Vantagens,Entretenimento,1000000,Gratuito,0.0,4.6,82600,Sim,Não,1.1.104,7/07/2022,5.1,Classificação Livre,10/08/2020
Grão: pra você poupar dinheiro,Entretenimento,500000,Gratuito,0.0,2.8,4940,Não,Não,1.6.15,9/06/2022,6.0,Classificação Livre,4/09/2018
GotChosen para influenciadores,Entretenimento,100000,Gratuito,0.0,3.5,1210,Sim,Não,5.0.3,19/08/2022,7.0,Classificação 12 anos • Linguagem Imprópria,3/11/2020
52 Semanas - Guardar Dinheiro,Entretenimento,1000000,Gratuito,0.0,4.7,55300,Sim,Sim,4.7.1,10/03/2022,5.0,Classificação Livre,9/02/2018
PiniOn,Entretenimento,1000000,Gratuito,0.0,3.4,51700,Não,Não,4.5.0,9/08/2022,5.0,Classificação 12 anos • Linguagem Imprópria,13/09/2013
Zé Delivery de Bebidas,Comer e beber,10000000,Gratuito,0.0,4.9,695000,Não,Não,22.32.1,12/08/2022,5.0,"Classificação 12 anos • Drogas Lícitas, Temas Sensíveis",13/12/2017
Petlove - Pet Shop Online,Comer e beber,1000000,Gratuito,0.0,4.6,52400,Não,Não,6.37.2,15/08/2022,6.0,Classificação Livre,12/02/2015
Americanas Entrega Flash,Comer e beber,500000,Gratuito,0.0,2.4,11300,Não,Não,4.0.17,19/08/2022,5.0,Classificação Livre,20/10/2019
Liv Up – Comida Saudável,Comer e beber,1000000,Gratuito,0.0,4.0,3460,Não,Não,41.1.0,14/06/2022,5.0,Classificação Livre,20/08/2018
Cornershop by Uber,Comer e beber,5000000,Gratuito,0.0,3.6,71600,Não,Não,3.2.3,15/08/2022,6.0,Classificação Livre,1/06/2015
Alfred Delivery,Comer e beber,100000,Gratuito,0.0,4.7,3690,Não,Não,2.2.73,2/12/2021,5.0,Classificação 10 anos • Conteúdo Impactante,26/02/2018
Delivery In Box,Comer e beber,50000,Gratuito,0.0,3.9,309,Não,Não,4.34.3,12/08/2022,5.1,Classificação Livre,14/04/2016
Shippify - Para Entregadores,Comer e beber,100000,Gratuito,0.0,4.3,7180,Não,Não,3.2.3,1/08/2022,5.0,Classificação Livre,30/04/2015
Frubana,Comer e beber,500000,Gratuito,0.0,4.7,11300,Não,Não,4.8.38,8/07/2022,5.0,Classificação Livre,5/04/2018
Delivery On - Sua fome OFF,Comer e beber,100000,Gratuito,0.0,4.7,6840,Não,Não,Varia de acordo com o dispositivo,10/08/2022,Varia,Classificação Livre,10/04/2017
Bigou Delivery de Comida,Comer e beber,100000,Gratuito,0.0,4.6,7200,Não,Não,7.7.0,13/06/2022,5.0,Classificação Livre,28/10/2014
RappiAliado,Comer e beber,500000,Gratuito,0.0,2.1,3520,Sim,Não,5.5.4,15/08/2022,5.0,Classificação Livre,25/01/2017
hugo - Lo hago todo por ti,Comer e beber,1000000,Gratuito,0.0,4.4,52000,Não,Não,4.0.0,10/08/2022,6.0,Classificação 10 anos • Conteúdo Impactante,24/03/2017
PetCam App - Pet Câmera App,Comer e beber,50000,Gratuito,0.0,3.0,334,Não,Sim,3.0.340,17/07/2022,7.0,Classificação Livre,27/09/2018
Sou Entregador Play Delivery,Comer e beber,100000,Gratuito,0.0,4.4,4680,Não,Não,9.0.3,19/01/2022,4.2,Classificação Livre,2/04/2015
Talking Pierre,Comer e beber,100000000,Gratuito,0.0,4.2,784000,Sim,Sim,3.7.1.125,3/06/2022,5.0,Classificação Livre,16/02/2012
UaiRango Delivery,Comer e beber,500000,Gratuito,0.0,4.7,6060,Sim,Não,Varia de acordo com o dispositivo,26/05/2022,Varia,Classificação Livre,18/02/2017
Mapa Celestial,Comer e beber,1000000,Gratuito,0.0,4.5,10700,Sim,Não,1.115,14/07/2022,4.4,Classificação Livre,5/08/2017
99 Store Pad,Comer e beber,50000,Gratuito,0.0,3.5,663,Não,Não,1.2.67,17/08/2022,5.0,Classificação Livre,18/06/2020
Minha Claro Residencial (NET),Comer e beber,10000000,Gratuito,0.0,4.1,434000,Não,Não,8.27.7,16/08/2022,5.1,Classificação Livre,31/01/2013
99 Store,Comer e beber,100000,Gratuito,0.0,3.2,2730,Não,Não,1.2.67,17/08/2022,5.0,Classificação Livre,29/11/2019
Cuponeria - Cupons de desconto,Comer e beber,1000000,Gratuito,0.0,4.7,38500,Não,Não,4.0.02,18/01/2022,5.0,Classificação Livre,15/08/2013
Pedidos10 - Delivery de Tudo,Comer e beber,100000,Gratuito,0.0,4.7,6020,Não,Não,1.16.4,5/04/2022,5.1,Classificação Livre,16/06/2016
MTCAP,Comer e beber,100000,Gratuito,0.0,4.8,3510,Não,Não,1.0.10200,20/08/2022,4.4,Classificação Livre,6/01/2020
Nidobox Supermercado,Comer e beber,50000,Gratuito,0.0,4.8,645,Não,Não,8.4,12/08/2022,5.0,Classificação Livre,14/03/2018
Tipti Supermercado a domicilio,Comer e beber,100000,Gratuito,0.0,0.0,0,Sim,Não,4.7.53,19/08/2022,7.0,Classificação Livre,4/09/2017
Shell Box,Comer e beber,10000000,Gratuito,0.0,4.5,199000,Não,Não,9.13.2.2,17/08/2022,7.0,Classificação Livre,24/09/2015
Appétit Delivery com Cashback,Comer e beber,100000,Gratuito,0.0,4.4,1860,Não,Não,2.36.0,18/08/2022,5.0,Classificação Livre,23/08/2018
Aegro - Gestão Rural,Comer e beber,50000,Gratuito,0.0,4.1,310,Não,Não,7.2.7,12/08/2022,5.0,Classificação Livre,14/02/2016
Tonolucro Delivery de Tudo,Comer e beber,500000,Gratuito,0.0,3.3,5650,Não,Não,3.1.6,12/08/2022,5.0,Classificação Livre,18/08/2015
Wine: Loja e Clube de Vinhos,Comer e beber,500000,Gratuito,0.0,4.6,14300,Não,Não,1.35.2,6/08/2022,5.0,Classificação 10 anos • Conteúdo Impactante,20/05/2019
Dotz: conta digital,Comer e beber,1000000,Gratuito,0.0,3.8,45600,Não,Não,2.3.0,21/07/2022,5.0,Classificação Livre,7/10/2019
Casal papagaio falante,Comer e beber,10000000,Gratuito,0.0,4.3,68700,Sim,Não,1.8.1,25/05/2022,4.4,Classificação Livre,27/11/2012
McDonald’s: Cupons e Delivery,Comer e beber,50000000,Gratuito,0.0,4.7,725000,Não,Não,3.12.0,17/08/2022,6.0,Classificação Livre,8/07/2016
Star Walk - Mapa do céu e das estrelas ao vivo 3D,Comer e beber,1000000,Gratuito,0.0,3.8,6530,Sim,Sim,1.4.5,18/11/2020,4.4,Classificação Livre,20/12/2013
Click Entregas: Entregas Rapidas de Moto,Comer e beber,500000,Gratuito,0.0,4.8,3900,Não,Não,1.66.3,8/08/2022,5.0,Classificação Livre,8/02/2019
Mais Delivery,Comer e beber,500000,Gratuito,0.0,4.6,17700,Sim,Não,6.6.4,4/08/2022,5.0,Classificação Livre,28/02/2019
RichThinker,Ferramentas,1000000,Gratuito,0.0,0.0,0,Sim,Não,1.0.0.4,15/07/2022,5.0,Classificação Livre,
Cashzine: Ler e Ganhe Dinheiro,Ferramentas,10000000,Gratuito,0.0,3.9,471000,Sim,Não,4.23,28/06/2022,4.2,Classificação Livre,20/03/2020
GoNovel,Ferramentas,5000000,Gratuito,0.0,3.5,56000,Sim,Sim,2.1.2,22/06/2022,5.0,Classificação 10 anos • Linguagem Imprópria,4/12/2020
Cryptopop - Earn ETH,Ferramentas,1000000,Gratuito,0.0,4.1,62300,Sim,Não,1.5.3,27/07/2022,4.4,Classificação Livre,27/04/2018
CAIXA,Finanças,100000000,Gratuito,0.0,4.4,3300000,Não,Não,3.14.0,15/08/2022,Varia,Classificação Livre,9/01/2012
Inter: Cartão de Crédito e Pix,Finanças,10000000,Gratuito,0.0,4.8,1380000,Não,Não,11.2.5,18/08/2022,5.0,Classificação Livre,12/03/2014
iti: banco digital do Itaú,Finanças,10000000,Gratuito,0.0,4.5,567000,Não,Não,1.107.1,19/08/2022,5.0,Classificação Livre,18/07/2019
Banco next: Conta e Cartão,Finanças,10000000,Gratuito,0.0,3.9,388000,Não,Não,30.33.1,3/08/2022,5.0,Classificação Livre,25/03/2014
BTG Pactual Empresas,Finanças,50000,Gratuito,0.0,3.8,360,Não,Não,3.14.00,19/08/2022,5.0,Classificação Livre,26/03/2020
